race_id,driver_id
2018_01,fernando_alonso
2018_02,pierre_gasly
2018_03,daniel_ricciardo
2018_04,charles_leclerc
2018_05,lewis_hamilton
2018_06,daniel_ricciardo
2018_07,sebastian_vettel
2018_08,sebastian_vettel
2018_09,max_verstappen
2018_10,lewis_hamilton
2018_11,lewis_hamilton
2018_12,daniel_ricciardo
2018_13,sebastian_vettel
2018_14,kimi_raikkonen
2018_15,max_verstappen
2018_16,max_verstappen
2018_17,daniel_ricciardo
2018_18,max_verstappen
2018_19,max_verstappen
2018_20,max_verstappen
2018_21,fernando_alonso
2019_01,valtteri_bottas
2019_02,charles_leclerc
2019_03,alexander_albon
2019_04,charles_leclerc
2019_05,max_verstappen
2019_06,max_verstappen
2019_07,sebastian_vettel
2019_08,lando_norris
2019_09,max_verstappen
2019_10,charles_leclerc
2019_11,max_verstappen
2019_12,max_verstappen
2019_13,lando_norris
2019_14,charles_leclerc
2019_15,sebastian_vettel
2019_16,sebastian_vettel
2019_17,valtteri_bottas
2019_18,max_verstappen
2019_19,alexander_albon
2019_20,max_verstappen
2019_21,nico_hulkenberg
2020_01,alexander_albon
2020_02,sergio_perez
2020_03,max_verstappen
2020_04,lewis_hamilton
2020_05,max_verstappen
2020_06,sebastian_vettel
2020_07,pierre_gasly
2020_08,pierre_gasly
2020_09,daniel_ricciardo
2020_10,max_verstappen
2020_11,nico_hulkenberg
2020_12,sergio_perez
2020_13,kimi_raikkonen
2020_14,sebastian_vettel
2020_15,romain_grosjean
2020_16,george_russell
2020_17,max_verstappen
2021_01,sergio_perez
2021_02,lando_norris
2021_03,sergio_perez
2021_04,lewis_hamilton
2021_05,sebastian_vettel
2021_06,sebastian_vettel
2021_07,max_verstappen
2021_08,max_verstappen
2021_09,lando_norris
2021_10,charles_leclerc
2021_11,esteban_ocon
2021_12,
2021_13,max_verstappen
2021_14,daniel_ricciardo
2021_15,lando_norris
2021_16,valtteri_bottas
2021_17,max_verstappen
2021_18,carlos_sainz
2021_19,lewis_hamilton
2021_20,fernando_alonso
2021_21,max_verstappen
2021_22,kimi_raikkonen
2022_01,charles_leclerc
2022_02,charles_leclerc
2022_03,charles_leclerc
2022_04,max_verstappen
2022_05,max_verstappen
2022_06,carlos_sainz
2022_07,mick_schumacher
2022_08,lewis_hamilton
2022_09,carlos_sainz
2022_10,sergio_perez
2022_11,max_verstappen
2022_12,carlos_sainz
2022_13,max_verstappen
2022_14,max_verstappen
2022_15,max_verstappen
2022_16,nyck_de_vries
2022_17,sergio_perez
2022_18,sebastian_vettel
2022_19,sebastian_vettel
2022_20,daniel_ricciardo
2022_21,lewis_hamilton
2022_22,sebastian_vettel
2023_01,fernando_alonso
2023_02,max_verstappen
2023_03,sergio_perez
2023_04,sergio_perez
2023_05,max_verstappen
2023_06,esteban_ocon
2023_07,lewis_hamilton
2023_08,alexander_albon
2023_09,lando_norris
2023_10,lando_norris
2023_11,sergio_perez
2023_12,max_verstappen
2023_13,fernando_alonso
2023_14,carlos_sainz
2023_15,carlos_sainz
2023_16,oscar_piastri
2023_17,oscar_piastri
2023_18,lando_norris
2023_19,lando_norris
2023_20,lando_norris
2023_21,charles_leclerc
2023_22,yuki_tsunoda
2024_01,oliver_bearman
2024_02,oliver_bearman
2024_03,carlos_sainz
2024_04,charles_leclerc
2024_05,lando_norris
2024_06,lando_norris
2024_07,lando_norris
2024_08,charles_leclerc
2024_09,lando_norris
2024_10,lando_norris
2024_11,lando_norris
2024_12,lewis_hamilton
2024_13,carlos_sainz
2024_14,max_verstappen
2024_15,alexander_albon
2024_16,charles_leclerc
2024_17,oscar_piastri
2024_18,daniel_ricciardo
2024_19,charles_leclerc
2024_20,carlos_sainz
2024_21,max_verstappen
2024_22,lewis_hamilton
2024_23,zhou_guanyu
2024_24,charles_leclerc
2025_01,max_verstappen
2025_02,andrea_kimi_antonelli
2025_03,daniel_ricciardo
2025_04,lewis_hamilton
2025_05,max_verstappen
2025_06,oscar_piastri
2025_07,max_verstappen
2025_08,charles_leclerc
2025_09,max_verstappen
2025_10,andrea_kimi_antonelli
2025_11,gabriel_bortoleto
2025_12,nico_hulkenberg
2025_13,lewis_hamilton
2025_14,gabriel_bortoleto
2025_15,isack_hadjar
2025_16,max_verstappen
2025_17,carlos_sainz
2025_18,fernando_alonso
2025_19,charles_leclerc
2025_20,oliver_bearman
2025_21,max_verstappen
2025_22,max_verstappen
2025_23,carlos_sainz
2025_24,max_verstappen
2026_01,max_verstappen
2026_02,andrea_kimi_antonelli
2026_03,oscar_piastri
2026_04,max_verstappen
2026_05,lewis_hamilton
2026_06,andrea_kimi_antonelli
