race_id,asset_id,asset_type,fantasy_points
2024_12,alexander_albon,driver,6
2024_12,carlos_sainz,driver,28
2024_12,charles_leclerc,driver,2
2024_12,daniel_ricciardo,driver,6
2024_12,esteban_ocon,driver,6
2024_12,fernando_alonso,driver,9
2024_12,george_russell,driver,-9
2024_12,guanyu_zhou,driver,-2
2024_12,kevin_magnussen,driver,11
2024_12,lance_stroll,driver,12
2024_12,lando_norris,driver,26
2024_12,lewis_hamilton,driver,47
2024_12,logan_sargeant,driver,4
2024_12,max_verstappen,driver,29
2024_12,nico_hulkenberg,driver,14
2024_12,oscar_piastri,driver,23
2024_12,pierre_gasly,driver,-20
2024_12,sergio_perez,driver,6
2024_12,valtteri_bottas,driver,4
2024_12,yuki_tsunoda,driver,7
2024_12,alpine,constructor,-12
2024_12,aston_martin,constructor,31
2024_12,ferrari,constructor,35
2024_12,haas,constructor,30
2024_12,kick_sauber,constructor,3
2024_12,mclaren,constructor,59
2024_12,mercedes,constructor,38
2024_12,racing_bulls,constructor,16
2024_12,red_bull,constructor,55
2024_12,williams,constructor,15
