asset_id,asset_type,price
alexander_albon,driver,7
carlos_sainz,driver,18.5
charles_leclerc,driver,19.1
daniel_ricciardo,driver,9
esteban_ocon,driver,7.8
fernando_alonso,driver,15.8
george_russell,driver,18.8
kevin_magnussen,driver,6.2
lance_stroll,driver,10.7
lando_norris,driver,23
lewis_hamilton,driver,19.3
logan_sargeant,driver,5.5
max_verstappen,driver,30
nico_hulkenberg,driver,6.4
oscar_piastri,driver,19
pierre_gasly,driver,7.8
sergio_perez,driver,20.8
valtteri_bottas,driver,6.4
yuki_tsunoda,driver,8
guanyu_zhou,driver,6.6
alpine,constructor,8.4
aston_martin,constructor,13.6
ferrari,constructor,19.3
haas,constructor,6.3
kick_sauber,constructor,6.6
mclaren,constructor,23.2
mercedes,constructor,20.1
racing_bulls,constructor,8.5
red_bull,constructor,27.9
williams,constructor,6.3
